particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,111.579,727352.75,91.1380806635415,15.0,"[0.43829035366250524, 0.8965787031955492, 0.7421650793854453]",,
2,sphere,887.566,890.12,888.566,891.12,0.02778287540579674,27.782875405796737,174.861,2799471.302,,,,87.43040097284745,
3,aggregate,776.673,669.097,777.673,670.097,0.025604865933105653,25.604865933105653,86.703,341267.875,65.79645259153965,,,,14.0
4,sphere,221.324,906.328,222.324,907.328,0.029844035589912353,29.84403558991235,177.677,2936910.76,,,,88.83839703461092,
5,aggregate,25.354,70.795,26.354,71.795,0.029088877664715917,29.088877664715916,49.705,64296.875,51.80813552473481,,,,6.0
6,aggregate,192.889,330.171,193.889,331.171,0.03114038850087629,31.14038850087629,75.843,228423.75,66.7065020250773,,,,14.0
7,sphere,703.361,602.438,704.361,603.438,0.025885536393826913,25.885536393826914,199.758,4173603.521,,,,99.87900186314586,
8,polyhedron,508.548,161.412,509.548,162.412,0.025480676947987002,25.480676947987003,67.221,159043.875,95.76493801427773,8.0,"[0.44030000130866015, 0.5211874226132689, 0.3123681466999385]",,
9,sphere,579.121,599.622,580.121,600.622,0.03274152999634669,32.74152999634669,124.164,1002269.611,,,,62.081945436954285,
10,sphere,859.172,628.699,860.172,629.699,0.022441152291574364,22.441152291574365,100.474,531081.907,,,,50.2370696455937,
11,polyhedron,853.344,275.197,854.344,276.197,0.033781905213540214,33.78190521354021,120.582,918004.125,88.64686940676421,14.0,"[0.7620546725999928, 0.9907897201705862, 0.5530752550474396]",,
12,sphere,943.334,140.493,944.334,141.493,0.033441831236354455,33.44183123635445,120.681,920278.193,,,,60.340676375701584,
13,aggregate,280.489,851.432,281.489,852.432,0.022692381085191313,22.692381085191315,62.411,127284.25,55.01978228249047,,,,9.0
14,polyhedron,505.365,968.052,506.365,969.052,0.025710985418257178,25.710985418257177,80.357,271692.25,74.93197734381576,17.0,"[0.7508516216829619, 0.4768315663286722, 0.5247599384882984]",,
15,sphere,242.53,450.498,243.53,451.498,0.034185404777367104,34.185404777367104,109.058,679156.849,,,,54.528952926771964,
16,sphere,774.976,550.886,775.976,551.886,0.02274213155646465,22.74213155646465,137.831,1371005.433,,,,68.91549111867076,
17,polyhedron,660.819,679.983,661.819,680.983,0.026521396202135693,26.521396202135694,68.509,168364.0,66.03670594767257,12.0,"[0.5371873615972688, 0.8331440677076059, 0.41821112912890035]",,
18,sphere,193.956,816.765,194.956,817.765,0.02397067565929306,23.97067565929306,119.192,886627.532,,,,59.59605807055427,
19,aggregate,166.838,681.664,167.838,682.664,0.03221710814046401,32.217108140464006,88.731,365787.0,95.66425918509879,,,,9.0
20,sphere,367.008,587.003,368.008,588.003,0.02211540949925022,22.11540949925022,181.175,3113831.713,,,,90.58761856096325,
