particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,131.914,1201896.265,91.1380806635415,36.0,"[0.29786294207813147, 0.8707233789944365, 0.6869147392537551]",0.6351689542281734,0.18254311617558422,0.35,,
2,sphere,178.679,203.622,179.679,204.622,0.028990741872812656,28.990741872812656,183.111,3214724.994,,,,,,,91.55563360624531,
3,aggregate,220.483,329.664,221.483,330.664,0.031661072573617666,31.661072573617666,144.486,1579348.589,93.72810204187323,,,,,,,8.0
4,sphere,387.315,534.839,388.315,535.839,0.02152507854355574,21.525078543555743,104.925,604840.233,,,,,,,52.4627059963797,
5,aggregate,81.448,919.287,82.448,920.287,0.021486697123698134,21.486697123698136,197.492,4033177.079,91.67292768942798,,,,,,,15.0
6,aggregate,137.132,989.333,138.132,990.333,0.03318800036461618,33.18800036461618,168.021,2483662.561,89.06470177157578,,,,,,,12.0
7,sphere,658.633,334.104,659.633,335.104,0.03181148332978931,31.811483329789308,164.795,2343308.752,,,,,,,82.3974241100605,
8,polyhedron,445.106,633.492,446.106,634.492,0.025409860016753816,25.409860016753818,149.635,1754291.419,77.45721917998398,27.0,"[0.6345544334550687, 0.8025292663616652, 0.9034424537151515]",0.6889488751074133,0.2004359510219719,0.30364952065330236,,
9,sphere,683.448,720.674,684.448,721.674,0.0316058102412744,31.6058102412744,110.928,714701.777,,,,,,,55.4641145557279,
10,sphere,741.098,800.014,742.098,801.014,0.02073445564734919,20.73445564734919,186.546,3399022.464,,,,,,,93.27282740278315,
11,polyhedron,630.62,861.466,631.62,862.466,0.020067501874094888,20.067501874094887,57.244,98219.25,61.72675752206493,22.0,"[0.6359720065872624, 0.7579655495232979, 0.1751661957593212]",0.5174473339926181,0.2474761857660436,0.3308903055940546,,
12,sphere,716.851,172.21,717.851,173.21,0.020710610300082227,20.710610300082227,146.077,1632088.834,,,,,,,73.03848026197831,
13,aggregate,921.95,30.57,922.95,31.57,0.02282482962217028,22.824829622170277,100.163,526165.875,56.91026858192654,,,,,,,7.0
14,polyhedron,196.243,518.53,197.243,519.53,0.034876617138930664,34.87661713893066,123.02,974820.818,84.65477134648508,26.0,"[0.2624348514231677, 0.9948134364478799, 0.6469430090140407]",0.4268802919211094,0.24767626397049125,0.35,,
15,sphere,849.783,198.573,850.783,199.573,0.02620351896964955,26.20351896964955,126.454,1058756.628,,,,,,,63.22699055756556,
16,sphere,264.153,715.643,265.153,716.643,0.03277001974103306,32.77001974103306,144.986,1595791.686,,,,,,,72.49296499720631,
17,polyhedron,262.214,180.608,263.214,181.608,0.03410028516211272,34.10028516211272,97.182,480573.0,62.42032019328258,21.0,"[0.8330190349957691, 0.6382461409657968, 0.5670167281850911]",0.5598160698402244,0.20438816162925072,0.28822135524558423,,
18,sphere,415.618,688.717,416.618,689.717,0.020348413735201378,20.34841373520138,197.613,4040583.586,,,,,,,98.80641953458539,
19,aggregate,876.262,618.687,877.262,619.687,0.026659143295939648,26.659143295939646,110.817,712557.0,70.00307230673776,,,,,,,6.0
20,sphere,407.952,744.857,408.952,745.857,0.02386177938985945,23.86177938985945,109.276,683232.181,,,,,,,54.63780387122474,
