particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,91.04,395084.744,91.1380806635415,36.0,"[0.29786294207813147, 0.8707233789944365, 0.6869147392537551]",0.6351689542281734,0.18254311617558422,0.35,7.0,0.40846053438549,,
2,sphere,778.787,859.632,779.787,860.632,0.02381395225631236,23.81395225631236,116.274,823095.766,,,,,,,,,58.13717430524788,
3,aggregate,467.898,610.517,468.898,611.517,0.03476974300426466,34.769743004264654,177.504,2928335.947,95.93968404513404,,,,,,,,,7.0
4,sphere,434.364,525.434,435.364,526.434,0.020187048169118198,20.1870481691182,198.342,4085458.15,,,,,,,,,99.17085379964688,
5,aggregate,530.94,423.056,531.94,424.056,0.021411079446340936,21.411079446340935,181.185,3114315.58,89.80142781551892,,,,,,,,,13.0
6,aggregate,493.311,962.888,494.311,963.888,0.02978778801128995,29.78778801128995,110.048,697815.0,52.25865584947132,,,,,,,,,14.0
7,sphere,73.25,357.982,74.25,358.982,0.03191685545743827,31.91685545743827,134.139,1263749.413,,,,,,,,,67.06935336908639,
8,polyhedron,753.801,795.141,754.801,796.141,0.02317931916620814,23.179319166208142,54.409,84334.033,81.13543724941042,25.0,"[0.5784922021902794, 0.7292602369481235, 0.1519624566987307]",0.7128116044756889,0.1737075663156986,0.2211713591772279,8.0,0.3412350287226679,,
9,sphere,964.874,281.745,965.874,282.745,0.02644935574850072,26.44935574850072,127.621,1088334.41,,,,,,,,,63.810368172828305,
10,sphere,271.579,779.425,272.579,780.425,0.03157774014843733,31.577740148437332,143.252,1539205.819,,,,,,,,,71.6257796621183,
11,polyhedron,837.594,232.308,838.594,233.308,0.02006458663501518,20.064586635015182,52.634,76349.25,68.91590071118928,24.0,"[0.6783755215418058, 0.9955583293392839, 0.1828476633528519]",0.45363936432379204,0.2022697570984501,0.35,8.0,0.3279992772893678,,
12,sphere,816.877,93.435,817.877,94.435,0.027683644566599407,27.683644566599405,159.786,2136050.73,,,,,,,,,79.89280166031018,
13,aggregate,670.599,139.131,671.599,140.131,0.03405577146005761,34.055771460057606,116.566,829294.875,62.927858907437,,,,,,,,,7.0
14,polyhedron,119.724,945.614,120.724,946.614,0.031227717003396434,31.227717003396435,80.791,276108.902,82.77296963600006,43.0,"[0.9072004247693495, 0.3523529155333832, 0.422136823558939]",0.5065535741880935,0.20446071779921826,0.26343632739133455,8.0,0.32246445995486883,,
15,sphere,899.666,572.872,900.666,573.872,0.03378739848399968,33.787398483999674,132.208,1209963.936,,,,,,,,,66.1040303148018,
16,sphere,135.84,566.331,136.84,567.331,0.025183054876850262,25.183054876850264,129.992,1150147.173,,,,,,,,,64.99624529139477,
17,polyhedron,876.039,485.149,877.039,486.149,0.03457038536128263,34.57038536128263,56.769,95791.122,90.09534167453742,33.0,"[0.45319029503973435, 0.6167316365082058, 0.18171374854248845]",0.6503203828868124,0.15217220610253052,0.2655747279305409,8.0,0.3637164748710381,,
18,sphere,329.934,848.841,330.934,849.841,0.025682638354596634,25.682638354596634,139.273,1414474.504,,,,,,,,,69.63627069562148,
19,aggregate,456.182,754.912,457.182,755.912,0.02202922892766785,22.02922892766785,157.627,2050656.753,91.07776163194464,,,,,,,,,11.0
20,sphere,600.268,630.208,601.268,631.208,0.030301309378121866,30.301309378121864,132.321,1213059.984,,,,,,,,,66.16036447463915,
