particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,aggregate,188.813,334.511,189.813,335.511,0.03494931827490471,34.94931827490471,87.691,353074.79,77.88241710267903,5.0,,,,,,,,
2,sphere,62.198,414.572,63.198,415.572,0.028553663730913045,28.553663730913044,183.203,3219544.106,,,91.60136033588986,,,,,,,
3,polyhedron,833.907,110.53,834.907,111.53,0.028916677409847557,28.91667740984756,27.553,10951.875,56.6521358534316,,,18.0,"[0.4424180339148803, 0.47903216345459865, 0.2657186757326069]",0.4404262489028654,0.1371038857151615,0.2451654695924621,3.0,0.4327455079848934
4,sphere,612.673,548.274,613.673,549.274,0.02125034300927332,21.25034300927332,189.715,3575240.476,,,94.85761835928116,,,,,,,
5,polyhedron,339.598,651.668,340.598,652.668,0.021622294815832006,21.622294815832007,51.333,70824.375,55.792788177466605,,,22.0,"[0.915847448592745, 0.3453269680401863, 0.953838522626722]",0.2989335203366412,0.123190656223776,0.23940090771355074,4.0,0.5123817289323093
6,sphere,700.297,281.852,701.297,282.852,0.03224703786410117,32.24703786410117,182.76,3196271.563,,,91.38011225392822,,,,,,,
7,polyhedron,262.577,258.637,263.577,259.637,0.03241352790236075,32.413527902360755,29.075,12868.875,50.63340869933845,,,23.0,"[0.2522967642282317, 0.6782641634786649, 0.2746732821894076]",0.28997174418912025,0.12919112692564247,0.15320410940659024,3.0,0.6911829903182091
8,sphere,320.249,594.842,321.249,595.842,0.0258780203243174,25.8780203243174,199.61,4164307.209,,,99.80478968792892,,,,,,,
9,polyhedron,402.013,286.1,403.013,287.1,0.021531793289323503,21.531793289323502,41.89,38488.5,55.94030172650091,,,31.0,"[0.8360937474180004, 0.4126141258476958, 0.30361076753142735]",0.37518861390884295,0.09143093512104777,0.20083883416466658,4.0,0.5798062466718987
10,sphere,343.336,319.063,344.336,320.063,0.029978700885887756,29.978700885887758,118.9,880125.677,,,59.45002304223092,,,,,,,
11,aggregate,421.875,226.56,422.875,227.56,0.022324617191239043,22.324617191239042,125.243,1028625.75,72.67549841149915,10.0,,,,,,,,
12,polyhedron,131.094,605.181,132.094,606.181,0.025054678817521877,25.05467881752188,77.501,243733.613,87.37529062716135,,,22.0,"[0.4882892121616931, 0.42829136644886356, 0.9594916822099969]",0.38263736467653,0.13061203349501227,0.14435244805628236,2.0,0.6927429530720423
13,sphere,217.23,684.125,218.23,685.125,0.03476341879053634,34.76341879053634,115.688,810715.101,,,57.84420870249391,,,,,,,
14,aggregate,934.739,805.588,935.739,806.588,0.02737679619007232,27.37679619007232,169.485,2549114.268,90.57994769660996,12.0,,,,,,,,
15,sphere,763.889,552.603,764.889,553.603,0.024846273668263162,24.846273668263162,183.618,3241511.208,,,91.8092217750329,,,,,,,
16,sphere,665.308,867.186,666.308,868.186,0.03105009361571104,31.050093615711038,138.647,1395491.233,,,69.32334353504132,,,,,,,
17,aggregate,575.02,364.541,576.02,365.541,0.0322688305602449,32.2688305602449,184.182,3271429.101,94.80963420171457,14.0,,,,,,,,
18,sphere,840.678,579.551,841.678,580.551,0.02997023218415196,29.97023218415196,124.545,1011518.306,,,62.27231999002733,,,,,,,
19,sphere,539.965,895.581,540.965,896.581,0.030512992117912585,30.512992117912585,185.67,3351396.621,,,92.83514200161825,,,,,,,
20,aggregate,495.864,987.586,496.864,988.586,0.03167146233169289,31.671462331692894,147.248,1671648.947,81.93566522707906,11.0,,,,,,,,
