particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres,radius_um
1,polyhedron,747.611,638.558,748.611,639.558,0.03391110887787751,33.91110887787751,54.772,86035.5,60.68814816875477,32.0,"[0.42393114145481414, 0.8493438464650622, 0.5904402813248071]",0.3355733499560962,0.09594508751333361,0.19973467621973529,2.0,0.4458315358513983,,
2,aggregate,380.396,693.864,381.396,694.864,0.03102989471061296,31.02989471061296,135.033,1289206.125,66.74942768313471,,,,,,,,12.0,
3,sphere,713.131,87.193,714.131,88.193,0.0345597109092362,34.5597109092362,107.829,656458.326,,,,,,,,,,53.91457471872555
4,sphere,149.11,773.529,150.11,774.529,0.02633676292290644,26.336762922906438,127.421,1083231.936,,,,,,,,,,63.71049051385067
5,polyhedron,504.276,40.185,505.276,41.185,0.022450146847973335,22.450146847973336,47.54,56257.355,95.00376928205353,21.0,"[0.32453913743798146, 0.3860121201553549, 0.37998294412249595]",0.29809082411718596,0.14728262888131247,0.22079513670114845,3.0,0.6815753940491942,,
6,sphere,490.494,898.368,491.494,899.368,0.02514350472040044,25.14350472040044,131.613,1193707.145,,,,,,,,,,65.80664168591714
7,polyhedron,480.966,836.562,481.966,837.562,0.023535505782976814,23.535505782976813,95.116,450566.16,87.07148920479617,32.0,"[0.6425917118827222, 0.7238588064022147, 0.4701947671711011]",0.4152406361622336,0.10536518183908561,0.25849109241379475,3.0,0.592721817494332,,
8,aggregate,128.131,135.035,129.131,136.035,0.022169431157434666,22.169431157434666,124.617,1013272.875,74.8878740105975,,,,,,,,10.0,
9,sphere,852.067,387.928,853.067,388.928,0.025775618130004476,25.775618130004474,118.122,862951.658,,,,,,,,,,59.06079466403753
10,polyhedron,170.764,459.502,171.764,460.502,0.028238177238068964,28.238177238068964,52.043,73804.5,66.85783047180145,28.0,"[0.5896274844309193, 0.5359847108937252, 0.3452401783065216]",0.48608866623701436,0.1461382915518025,0.20752616414593184,4.0,0.6856233583435533,,
11,sphere,912.881,246.699,913.881,247.699,0.020134276875137393,20.13427687513739,175.946,2851935.56,,,,,,,,,,87.97319528901235
12,polyhedron,204.746,176.868,205.746,177.868,0.03479973565888625,34.79973565888625,40.551,34914.375,66.63274817075092,17.0,"[0.5203787383296026, 0.2760614448746659, 0.745226984095226]",0.39707111145651114,0.09308233481539359,0.17226114242006219,2.0,0.40310308746822165,,
13,sphere,880.032,621.518,881.032,622.518,0.0320842529236636,32.0842529236636,147.416,1677389.766,,,,,,,,,,73.70808475118474
14,aggregate,559.283,43.482,560.283,44.482,0.030179732992476466,30.179732992476467,134.085,1262233.125,69.49820768305065,,,,,,,,11.0,
15,sphere,681.499,837.048,682.499,838.048,0.024434819467860195,24.434819467860194,143.009,1531395.919,,,,,,,,,,71.50443159198724
16,sphere,151.964,537.315,152.964,538.315,0.03166093013340798,31.660930133407984,187.462,3449340.53,,,,,,,,,,93.7308353091815
17,sphere,666.295,574.193,667.295,575.193,0.0233052206487184,23.3052206487184,173.984,2757581.073,,,,,,,,,,86.99211572678773
18,aggregate,32.052,460.941,33.052,461.941,0.0239802926800143,23.980292680014298,109.137,680639.625,61.92282265738573,,,,,,,,11.0,
19,sphere,925.632,925.218,926.632,926.218,0.023302956632274555,23.302956632274554,168.124,2488210.757,,,,,,,,,,84.06196119215807
20,aggregate,460.461,246.284,461.461,247.284,0.03011172920716498,30.11172920716498,119.692,897836.22,77.40004139380537,,,,,,,,7.0,
