particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres
1,sphere,806.63,330.852,807.63,331.852,0.028779273088259484,28.779273088259483,142.811,1525047.109,71.40548117132643,,,,,,,,,
2,sphere,379.403,876.606,380.403,877.606,0.021338592493957836,21.338592493957837,142.095,1502222.881,71.0474651638664,,,,,,,,,
3,sphere,814.708,184.132,815.708,185.132,0.03434578813951359,34.34578813951359,160.233,2154060.445,80.11670733585318,,,,,,,,,
4,sphere,807.687,248.823,808.687,249.823,0.027985495606614865,27.985495606614865,171.623,2646823.512,85.81149301140152,,,,,,,,,
5,polyhedron,299.84,156.231,300.84,157.231,0.02829846312502206,28.29846312502206,82.831,297560.77,,77.74079812234675,33.0,"[0.8680885283469499, 0.42057336707954174, 0.7386929533357955]",0.3925107878033585,0.15393788198151623,0.1939343309755926,4.0,0.673862478046157,
6,sphere,234.684,834.826,235.684,835.826,0.03191123907670756,31.91123907670756,175.837,2846640.948,87.91872088981674,,,,,,,,,
7,polyhedron,191.385,281.263,192.385,282.263,0.032498942996209805,32.498942996209806,62.401,127227.375,,62.30385722510407,25.0,"[0.5276666825365488, 0.5172434854321047, 0.9108118978965356]",0.3721262787309078,0.10800241648575802,0.21109487046776715,2.0,0.5465324860187063,
8,polyhedron,49.995,747.887,50.995,748.887,0.03180346971053333,31.803469710533328,40.768,35478.0,,70.16222848576669,19.0,"[0.3952566641764643, 0.3558906306197762, 0.6438959305825963]",0.5158774441069535,0.11191314730164206,0.1678595006033053,3.0,0.5347733248312794,
9,sphere,449.417,644.257,450.417,645.257,0.028851212975293132,28.851212975293134,158.246,2074900.422,79.12302510748087,,,,,,,,,
10,sphere,370.009,295.321,371.009,296.321,0.024020786899729675,24.020786899729675,129.139,1127640.728,64.56949374100036,,,,,,,,,
11,sphere,584.763,524.302,585.763,525.302,0.02173022653070562,21.73022653070562,137.727,1367908.138,68.86355539081757,,,,,,,,,
12,sphere,313.054,270.834,314.054,271.834,0.027401775815624963,27.401775815624962,165.136,2357896.839,82.56805676637785,,,,,,,,,
13,aggregate,869.936,54.286,870.936,55.286,0.0349903544736907,34.9903544736907,156.624,2011756.531,,79.48295288577432,,,,,,,,14.0
14,aggregate,525.761,312.616,526.761,313.616,0.026204841268510914,26.204841268510915,111.858,732820.5,,54.58058129744372,,,,,,,,14.0
15,aggregate,306.441,648.812,307.441,649.812,0.022740549048849378,22.740549048849378,126.413,1057721.625,,67.87295795701817,,,,,,,,13.0
16,polyhedron,210.424,664.059,211.424,665.059,0.021086912815789255,21.086912815789255,40.436,34617.375,,58.1296378453215,25.0,"[0.770296529406066, 0.8071823951958675, 0.15548789000414964]",0.2991408155267679,0.0955967854926065,0.1681205374385112,3.0,0.5833303039013852,
17,aggregate,161.649,398.576,162.649,399.576,0.0306063854001543,30.6063854001543,113.528,766145.25,,54.97098807765286,,,,,,,,13.0
18,aggregate,164.859,211.562,165.859,212.562,0.025100114410326776,25.100114410326775,148.658,1720124.059,,85.73937612696581,,,,,,,,7.0
19,sphere,823.534,979.107,824.534,980.107,0.0219985746337086,21.9985746337086,135.44,1300893.284,67.72011507476725,,,,,,,,,
20,polyhedron,236.941,301.668,237.941,302.668,0.0323512036940477,32.351203694047705,42.768,40959.0,,58.35089438769883,21.0,"[0.4858471872351009, 0.8597024340473607, 0.4407734858592709]",0.4873358205030991,0.14967301178543999,0.2092371820753426,3.0,0.606684871086221,
