particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um
1,aggregate,111.79,164.375,112.79,165.375,0.022484546647460604,22.484546647460604,104.478,597142.125,56.113402852648086,12.0,,,,,,,,
2,polyhedron,547.694,397.555,548.694,398.555,0.02645057165751459,26.45057165751459,75.835,228351.203,97.74219718088057,,15.0,"[0.9718656347382459, 0.78554243858761, 0.28174282468835077]",0.49875186976674846,0.15007290628001113,0.2098495724613125,2.0,0.5498175109054577,
3,sphere,993.813,476.248,994.813,477.248,0.024488299781557987,24.488299781557988,122.027,951417.397,,,,,,,,,,61.01371836247819
4,polyhedron,650.514,480.812,651.514,481.812,0.02489202352306833,24.89202352306833,105.002,606162.658,81.8607338434389,,31.0,"[0.8686032615190555, 0.7351530246504913, 0.9822523751879946]",0.4830135810372806,0.10010448821507989,0.20129847096282596,4.0,0.5486483422908434,
5,sphere,191.405,850.521,192.405,851.521,0.027298104833998044,27.298104833998046,161.322,2198266.612,,,,,,,,,,80.661058741767
6,sphere,301.656,671.307,302.656,672.307,0.020302360548375937,20.302360548375937,141.371,1479380.962,,,,,,,,,,70.68552241059209
7,sphere,321.151,941.252,322.151,942.252,0.02094518410508175,20.94518410508175,126.66,1063928.766,,,,,,,,,,63.32978019867774
8,sphere,328.078,336.179,329.078,337.179,0.026393424228815875,26.393424228815874,111.67,729138.889,,,,,,,,,,55.835089637749675
9,polyhedron,644.523,755.825,645.523,756.825,0.02808707691218892,28.08707691218892,72.706,201234.329,79.07646916620362,,17.0,"[0.5959871198333364, 0.6751844276542274, 0.8326775671108387]",0.3482055050291098,0.1365315695663086,0.20043622437751052,2.0,0.5206966796074718,
10,polyhedron,758.166,850.872,759.166,851.872,0.021360022725580793,21.360022725580794,86.575,339768.332,92.59737010443351,,20.0,"[0.31261198721130684, 0.8992492939510558, 0.9714158395506944]",0.381201500173439,0.1012975186661147,0.22224652925659205,2.0,0.5588664328817179,
11,sphere,214.326,630.222,215.326,631.222,0.03292213907708175,32.922139077081745,128.753,1117549.882,,,,,,,,,,64.37631340794798
12,sphere,351.399,510.457,352.399,511.457,0.026828440676731947,26.828440676731947,192.369,3727360.395,,,,,,,,,,96.18431557907545
13,aggregate,211.877,559.231,212.877,560.231,0.02406999447252432,24.069994472524318,144.239,1571243.313,75.47637291100531,14.0,,,,,,,,
14,aggregate,528.845,210.292,529.845,211.292,0.03271136486342466,32.711364863424656,133.436,1243987.103,75.44242938662828,8.0,,,,,,,,
15,sphere,850.438,220.366,851.438,221.366,0.02446418140540495,24.46418140540495,103.155,574732.02,,,,,,,,,,51.577338542622144
16,polyhedron,419.895,844.555,420.895,845.555,0.02360048460050541,23.60048460050541,59.027,107686.125,59.10609524189811,,34.0,"[0.5503741163031189, 0.4034138481060658, 0.7763286510209687]",0.3921439494443028,0.12439859421705389,0.1556545187677456,3.0,0.46501309328676377,
17,aggregate,972.773,246.547,973.773,247.547,0.03302775795533711,33.027757955337115,143.858,1558836.12,87.57136795136836,5.0,,,,,,,,
18,sphere,935.566,313.549,936.566,314.549,0.033447497859125444,33.44749785912544,140.353,1447662.504,,,,,,,,,,70.17669410840995
19,aggregate,864.633,485.824,865.633,486.824,0.022595393684089412,22.595393684089412,146.902,1659915.282,93.29324817175353,8.0,,,,,,,,
20,sphere,633.504,599.488,634.504,600.488,0.02215178230735508,22.15178230735508,157.306,2038123.749,,,,,,,,,,78.65276236130951
