particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,sphere,641.698,214.967,642.698,215.967,0.030092334964960863,30.092334964960862,151.259,1812024.966,75.62960913993305,,,,,,,,,
2,aggregate,657.119,692.636,658.119,693.636,0.02184915976213831,21.84915976213831,77.952,248015.25,,57.36419464251937,5.0,,,,,,,
3,aggregate,262.789,564.916,263.789,565.916,0.03164542931294871,31.64542931294871,171.393,2636177.846,,86.62421115731644,12.0,,,,,,,
4,sphere,185.246,149.599,186.246,150.599,0.023716954748326427,23.716954748326426,196.387,3965851.842,98.19347404139917,,,,,,,,,
5,sphere,695.884,143.079,696.884,144.079,0.024745691316230667,24.745691316230666,119.996,904694.959,59.99814920423192,,,,,,,,,
6,aggregate,532.511,764.846,533.511,765.846,0.021191323105420146,21.191323105420146,95.341,453768.75,,50.7143771998579,15.0,,,,,,,
7,polyhedron,338.51,790.494,339.51,791.494,0.02480981908075615,24.80981908075615,105.746,619134.079,,93.45013595685444,,27.0,"[0.6179731747828654, 0.9876829554350738, 0.8497990526963247]",0.2833169075409571,0.086145916115176,0.2101930745212434,3.0,0.537347846878788
8,aggregate,363.456,312.022,364.456,313.022,0.021980095730813554,21.980095730813552,146.343,1641021.296,,96.22085359333832,9.0,,,,,,,
9,sphere,389.618,939.015,390.618,940.015,0.020391114045586176,20.391114045586175,128.734,1117060.606,64.36691713392868,,,,,,,,,
10,aggregate,921.024,506.053,922.024,507.053,0.030188059843749088,30.188059843749087,157.069,2028939.966,,78.32715028239734,15.0,,,,,,,
11,sphere,816.929,321.751,817.929,322.751,0.02658428122251535,26.58428122251535,194.849,3873411.016,97.42453120190848,,,,,,,,,
12,sphere,952.565,158.156,953.565,159.156,0.02177553420717243,21.77553420717243,153.788,1904435.534,76.89401811367523,,,,,,,,,
13,sphere,948.635,743.571,949.635,744.571,0.027921878298199164,27.921878298199164,170.094,2576716.438,85.04706676310724,,,,,,,,,
14,polyhedron,119.666,979.506,120.666,980.506,0.03004096034969206,30.040960349692057,55.993,91918.125,,72.1614851816132,,18.0,"[0.38627726207557067, 0.8263935324579742, 0.900454899682896]",0.3429727555600576,0.1554289038237657,0.20776048581010112,3.0,0.5247032695900355
15,polyhedron,423.479,834.615,424.479,835.615,0.03411440504205184,34.11440504205184,29.039,12821.625,,51.07197228149652,,20.0,"[0.5685460223122775, 0.8964858616215666, 0.15004846127788804]",0.47682167030297484,0.09977690288524123,0.2105218430731046,3.0,0.6316780342756916
16,sphere,740.713,431.627,741.713,432.627,0.02332833875589016,23.32833875589016,149.274,1741613.339,74.63703486317758,,,,,,,,,
17,polyhedron,965.252,572.237,966.252,573.237,0.033511452138017324,33.511452138017326,91.321,398759.296,,99.9091576528653,,25.0,"[0.9370621787174873, 0.3825108626623908, 0.996152958683796]",0.41032371311179805,0.08812959760892525,0.2085995105893731,2.0,0.42389683027853214
18,polyhedron,211.188,685.863,212.188,686.863,0.02189087836970773,21.89087836970773,100.405,529993.85,,98.9648053524238,,20.0,"[0.739290043625883, 0.7833283100444511, 0.6682621350862371]",0.31219192179797833,0.12462392462385702,0.1546198975707842,2.0,0.6041754872752149
19,sphere,487.175,588.973,488.175,589.973,0.029205787449899993,29.205787449899994,144.923,1593722.037,72.46161171971838,,,,,,,,,
20,sphere,947.283,300.705,948.283,301.705,0.026395562421115244,26.395562421115244,113.849,772663.33,56.924675569835856,,,,,,,,,
