particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um,num_sub_spheres
1,polyhedron,134.278,235.33,135.278,236.33,0.032079726131376975,32.07972613137697,58.91,107045.051,86.96260122773131,19.0,"[0.6966732780707177, 0.25376486829222233, 0.7695679494547272]",0.3642150615712307,0.0991343416155382,0.1699512458176675,4.0,0.4394350248516692,,
2,sphere,333.73,206.175,334.73,207.175,0.02072205292485173,20.72205292485173,118.086,862162.992,,,,,,,,,59.04279696126282,
3,aggregate,380.986,897.994,381.986,898.994,0.02158538430979607,21.58538430979607,161.84,2219517.595,92.52241397959673,,,,,,,,,9.0
4,polyhedron,549.869,562.51,550.869,563.51,0.033982414403560264,33.98241440356026,52.052,73845.0,68.61387278004125,16.0,"[0.4775365468808176, 0.45187775112539064, 0.978827783536057]",0.28344040614378296,0.08592237947726222,0.25003173082478386,3.0,0.6750992934134306,,
5,sphere,79.653,70.143,80.653,71.143,0.030392972863844205,30.392972863844204,178.214,2963628.566,,,,,,,,,89.10697919559419,
6,sphere,297.891,649.907,298.891,650.907,0.03180274299864963,31.80274299864963,172.423,2684031.39,,,,,,,,,86.21172345323237,
7,polyhedron,622.256,897.533,623.256,898.533,0.021282005067148942,21.282005067148944,50.494,67408.875,59.96381875060742,27.0,"[0.6733974554882267, 0.5478287792747953, 0.35562267464371344]",0.3885347739283654,0.1500226914791892,0.21219616001747035,2.0,0.7147387519892279,,
8,aggregate,941.075,570.695,942.075,571.695,0.03249183289491287,32.49183289491287,122.562,963970.875,69.50127332420436,,,,,,,,,10.0
9,sphere,663.007,624.929,664.007,625.929,0.020141830631485978,20.141830631485977,159.933,2141967.572,,,,,,,,,79.96650110100339,
10,sphere,260.862,937.396,261.862,938.396,0.028292332911415738,28.292332911415738,114.424,784418.653,,,,,,,,,57.21190835934704,
11,polyhedron,924.92,919.773,925.92,920.773,0.026381549760102468,26.381549760102466,44.983,47658.375,64.34369960007764,18.0,"[0.45303621520662596, 0.3781568183461284, 0.9442383396564479]",0.2889089962575395,0.11009316058392377,0.2114232280741291,2.0,0.5750325353868972,,
12,aggregate,467.645,668.336,468.645,669.336,0.021254889696859562,21.25488969685956,163.013,2268133.002,80.17180896104323,,,,,,,,,13.0
13,sphere,80.487,836.299,81.487,837.299,0.031267780020594466,31.267780020594465,192.978,3762901.443,,,,,,,,,96.48906057208785,
14,sphere,545.3,801.764,546.3,802.764,0.03485323839763821,34.85323839763821,113.719,770010.814,,,,,,,,,56.859460997584705,
15,polyhedron,501.984,74.406,502.984,75.406,0.03422515956690217,34.22515956690217,63.055,131264.587,88.00779746121427,34.0,"[0.4686519108908924, 0.32592534664007256, 0.44068378876035663]",0.36798043952712284,0.1286946330059322,0.18599230577000858,2.0,0.6244682964772664,,
16,aggregate,561.636,347.358,562.636,348.358,0.02641776872790509,26.41776872790509,111.319,722277.0,58.811680231602935,,,,,,,,,12.0
17,aggregate,814.787,562.018,815.787,563.018,0.020865262145080662,20.865262145080663,109.067,679333.5,61.513324114278014,,,,,,,,,7.0
18,sphere,500.216,333.495,501.216,334.495,0.02990024946311927,29.90024946311927,185.305,3331634.763,,,,,,,,,92.65231148291838,
19,sphere,276.422,151.263,277.422,152.263,0.03315748412077806,33.157484120778065,108.978,677660.063,,,,,,,,,54.48886488902461,
20,sphere,655.143,797.104,656.143,798.104,0.026437405381920263,26.437405381920264,177.489,2927627.713,,,,,,,,,88.74469750634032,
